"","state_code","state_name","district_code","district_name","ngdp_code","census_year","Pop_Total","Pop_GenderMale","Pop_GenderFemale","Pop_CitizenshipCitizen","Pop_CitizenshipNon-citizen","AnnualPopGrowthRate_Average","Pop_EthnicMalay","Pop_EthnicOtherBumi","Pop_EthnicChinese","Pop_EthnicIndian","Pop_EthnicOther","Pop_AgeGroup0014","Pop_AgeGroup1564","Pop_AgeGroup65++","Pop_MaritalNeverMarried","Pop_MaritalMarried","Pop_MaritalWiddowed","Pop_MaritalDivorcedSeparated","Pop_ReligionIslam","Pop_ReligionChristian","Pop_ReligionBuddha","Pop_ReligionHindu","Pop_ReligionOthers","Pop_ReligionNoReligionUnknown","LandAreaKm2","Pop_Density","Pop_StrataUrban","Pop_StrataRural"
"737",13,"Sarawak",6,"Simunjan","1306",2010,38324,19646,18678,37269,1055,0.274315913571428,20491,15441,1215,25,97,11910,23607,2807,7833,16744,1580,257,22184,12854,818,6,2125,337,NA,NA,0,38324
"738",13,"Sarawak",6,"Simunjan","1306",2020,36211,19077,17134,34012,2199,-0.567133917119356,19393,13469,892,4,254,8123,24430,3658,9746,16375,1398,569,22283,13108,610,12,126,72,2217.67,16.3283987247877,0,36211
"739",13,"Sarawak",7,"Sri Aman","1307",1970,54197,27350,26847,54197,NA,NA,10091,36309,7686,0,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740",13,"Sarawak",7,"Sri Aman","1307",1980,65589,33035,32554,65589,NA,1.90782442602664,14679,41457,9267,95,91,26279,36849,2461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,65589
"741",13,"Sarawak",7,"Sri Aman","1307",1991,58639,28763,29876,58433,206,-1.12007994735875,14870,34770,8703,51,39,20100,35378,3161,16223,24833,2589,680,15369,27032,2907,28,9062,4034,NA,NA,18503,40136
"742",13,"Sarawak",7,"Sri Aman","1307",2000,62775,31244,31531,62496,279,0.681569008166629,17522,37066,7880,14,14,21156,37685,3934,10731,27780,2516,592,18530,34240,5167,19,3077,1742,NA,NA,21243,41532
"743",13,"Sarawak",7,"Sri Aman","1307",2010,64500,32661,31839,63878,622,0.271083187580781,16418,38656,8614,70,120,19413,39933,5154,12180,29921,2607,379,17207,30060,7124,56,9896,157,NA,NA,29534,34966
"744",13,"Sarawak",7,"Sri Aman","1307",2020,61238,31710,29528,59876,1362,-0.518973119387478,14055,38438,7251,26,106,12774,41153,7311,18989,25444,2987,1044,16407,38675,5381,26,112,637,2323.7,26.3536601110298,27692,33546
"745",13,"Sarawak",8,"Lubok Antu","1308",1970,17468,8481,8987,17468,NA,NA,482,15009,1968,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746",13,"Sarawak",8,"Lubok Antu","1308",1980,19735,9731,10004,19735,NA,1.22023073491496,766,16652,2254,0,63,8020,10861,854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19735
