ngdp00,census_year,Pop_Total,Pop_GenderMale,Pop_GenderFemale,Pop_CitizenshipCitizen,Pop_CitizenshipNon-citizen,Pop_EthnicMalay,Pop_EthnicOtherBumi,Pop_EthnicChinese,Pop_EthnicIndian,Pop_EthnicOther,Pop_AgeGroup0014,Pop_AgeGroup1564,Pop_AgeGroup65++,Pop_MaritalNeverMarried,Pop_MaritalMarried,Pop_MaritalWiddowed,Pop_MaritalDivorcedSeparated,Pop_ReligionIslam,Pop_ReligionChristian,Pop_ReligionBuddha,Pop_ReligionHindu,Pop_ReligionOthers,Pop_ReligionNoReligionUnknown,Pop_StrataUrban,Pop_StrataRural,LandAreaKm2,Pop_Density
1304,2000,46966,23583,23383,46763,203,26845,11423,8281,175,39,16963,28594,1409,11679,17160,986,178,28065,11484,4710,129,2282,296,23064,23902,407.08,115.373
1304,2010,85495,42271,43224,84765,730,40737,26893,16446,419,270,27800,54841,2854,20422,35347,1579,347,43646,23650,13860,198,3868,273,64619,20876,407.08,210.02
1304,2020,128284,62212,66072,126866,1418,57341,45534,23010,697,284,28094,94798,5392,46345,49374,2952,1519,63679,46621,16611,504,363,506,106650,21634,407.08,315.132
1305,1991,71874,35866,36008,71580,294,6926,53510,10197,75,872,27884,40779,3211,22457,27746,2613,681,8555,49430,3346,60,7273,3192,NA,71874,2405,29.885
1305,2000,79632,40002,39630,79039,593,9398,59801,9731,74,35,28362,47015,4255,14180,33750,2804,536,10547,58090,7025,30,3109,831,NA,79632,2405,33.111
1305,2010,89078,45137,43941,87356,1722,10799,67943,8156,193,265,26334,56486,6258,17797,41087,3328,532,13235,61770,6630,28,7144,271,11059,78019,2405,37.039
1305,2020,110577,56625,53952,108564,2013,10351,83085,14857,154,117,23643,76048,10886,28145,51881,5424,1484,15286,82274,12245,60,643,69,20531,90046,2405,45.978
1306,1991,45971,23158,22813,45931,40,25381,16734,2820,14,982,18171,25830,1970,13874,17778,1584,368,26925,11580,1073,12,3572,2767,NA,45971,2217.67,20.729
1306,2000,37287,18852,18435,37243,44,19096,16615,1406,6,120,13902,21560,1825,6713,15260,1237,175,19995,13300,1002,5,1721,1264,NA,37287,2217.67,16.814
1306,2010,38324,19646,18678,37269,1055,20491,15441,1215,25,97,11910,23607,2807,7833,16744,1580,257,22184,12854,818,6,2125,337,NA,38324,2217.67,17.281
1306,2020,36211,19077,17134,34012,2199,19393,13469,892,4,254,8123,24430,3658,9746,16375,1398,569,22283,13108,610,12,126,72,NA,36211,2217.67,16.328
1307,1991,58639,28763,29876,58433,206,14870,34770,8703,51,39,20100,35378,3161,16223,24833,2589,680,15369,27032,2907,28,9062,4034,18503,40136,2323.7,25.235
